familia,metodos,cria,edita,exclui,acao,imutavel,candidato_revisao,prioridade,faltando,rotas
"api/produtora/vendedores","GET|POST","true","false","false","false","false","true","alta","editar|excluir/arquivar/cancelar","api/produtora/vendedores"
"api/rank","GET","false","false","false","false","false","false","","","api/rank"
"api/reports","POST","true","false","false","false","false","false","","","api/reports"
"api/stream/catalog","DELETE|GET|PATCH|POST","true","true","true","false","false","false","","","api/stream/catalog/redeem|api/stream/catalog|api/stream/catalog/[id]/codes|api/stream/catalog/[id]"
"api/stream/live/[id]","GET","false","false","false","false","false","false","","","api/stream/live/[token]"
"api/upload","POST","true","false","false","false","false","false","","","api/upload|api/upload/signed"
"api/vagas","GET","false","false","false","false","false","false","","","api/vagas"
"api/vendedores","GET|POST","true","false","false","false","false","true","alta","editar|excluir/arquivar/cancelar","api/vendedores/convite/[token]"
"api/vendedores/[id]/campeonatos","GET|PATCH","false","true","false","false","false","false","","","api/vendedores/[managerId]/campeonatos"
"api/vendedores/[id]/perfil","GET|PATCH","false","true","false","false","false","false","","","api/vendedores/[managerId]/perfil"
"api/vendedores/[id]/vagas","GET","false","false","false","false","false","false","","","api/vendedores/[managerId]/vagas"
"api/webhooks/asaas","GET|POST","true","false","false","false","false","false","","","api/webhooks/asaas"
"api/webhooks/paypal","GET|POST","true","false","false","false","false","false","","","api/webhooks/paypal"
